Contract_One year,Contract_Two year,tenure,MonthlyCharges,Churn
0,0,-1.2802480369298874,-1.1616939352451685,0
1,0,0.06430268518835193,-0.2608779199297493,0
0,0,-1.2395040756535771,-0.3639232943754246,1
1,0,0.512486259227765,-0.747850415293989,0
0,0,-1.2395040756535771,0.19617817640187488,1
0,0,-0.9950403079957154,1.1584890119510036,1
0,0,-0.42462485012737144,0.8078023344020117,0
0,0,-0.9135523854430948,-1.1650179795821258,0
0,0,-0.18016108246950976,1.3296772953043026,1
1,0,1.2051336009250397,-0.28747027462540753,0
0,0,-0.791320501614164,-0.4935610235167579,0
0,1,-0.6690886177852331,-1.5240147679735105,0
1,0,1.0421577558197987,1.181757322309704,0
0,0,0.6754621043330061,1.2931128075977727,1
0,0,-0.3023929662984406,1.3529456056630036,0
0,1,1.4903413298592119,1.6105590417771916,0
1,0,0.797693988161937,-1.4675060142452372,0
0,1,1.5718292524118322,1.3928341377064908,0
0,0,-0.9135523854430948,-0.3190486958265014,1
0,0,-0.46536881140368175,0.8393807556031058,0
0,0,-1.2802480369298874,-0.8359375902233565,1
1,0,-0.8320644628904743,-1.495760391109374,0
0,0,-1.2802480369298874,-1.4841262359300234,1
0,1,1.0421577558197987,-0.16281861198951006,0
0,0,0.6754621043330061,-0.17279074500038175,0
0,0,-0.09867315991688919,-0.3157246514895444,0
0,0,0.5939741817803856,1.1485168789401314,1
0,0,-1.2802480369298874,-1.150059780065818,1
0,1,1.6125732136881425,0.8460288442770204,0
0,0,-0.6283446565089229,-0.0032644838155611237,1
0,1,1.5718292524118322,1.0487955488314133,0
0,0,-1.2395040756535771,1.0205411719672768,0
1,0,-0.22090504374582004,0.044934159070319335,0
0,0,-1.2802480369298874,-1.4824642137615447,0
0,0,-1.2802480369298874,-0.6497911073537496,0
0,1,1.6125732136881425,1.1667991227933967,0
0,0,-1.1172721918246462,0.1629377330323022,1
0,0,0.5532302205040753,0.3324639942171226,0
0,0,0.06430268518835193,1.3811999825271402,1
0,0,-0.8728084241667845,1.0986562138857725,1
1,0,-0.9135523854430948,-0.5068572008645872,0
0,1,1.5310852911355222,0.14631751134751586,0
1,0,-0.6283446565089229,-1.4641819699082799,0
0,1,1.24587756220135,0.5003282332334644,0
0,0,-0.791320501614164,0.3790006149345245,0
0,0,0.6754621043330061,0.6548962949019775,0
0,0,-1.2395040756535771,-0.5168293338754589,0
0,0,-1.2395040756535771,0.526920587929123,1
0,1,0.797693988161937,0.4970041888965074,0
0,1,1.4903413298592119,-0.021546727668825993,0
0,0,0.4309983366751445,0.8460288442770204,0
0,0,-0.7098325790615434,1.1402067680977384,1
0,0,-0.3023929662984406,0.15628964435838757,0
0,0,-0.9950403079957154,0.526920587929123,1
1,0,1.1236456783724194,0.33412601638560113,0
0,0,-0.5876006952326126,1.0188791497987983,1
1,0,1.24587756220135,1.1584890119510036,0
1,0,1.368109446030281,1.451004913603243,0
0,1,0.06430268518835193,-1.3245721077560746,0
0,1,1.6125732136881425,1.419426492402149,0
0,0,0.5939741817803856,1.1867433888151402,0
0,0,1.1236456783724194,0.8343946890976701,0
0,1,1.6125732136881425,-0.7544985039679034,0
1,0,-0.5876006952326126,-0.3456410505221597,0
0,0,-0.9542963467194051,0.9839766842607471,1
0,0,-1.1987601143772668,0.3490842159019089,0
1,0,0.5939741817803856,0.4687498120323708,0
0,1,-0.05792919864057891,0.4787219450432425,0
0,1,0.7162060656093164,-1.4841262359300234,0
0,0,-0.9135523854430948,0.5003282332334644,0
0,0,-1.2802480369298874,-0.5234774225493735,0
1,0,0.797693988161937,-1.4758161250876303,0
0,1,1.2866215234776603,1.5557123102173966,0
0,1,1.2051336009250397,-1.3478404181147754,0
0,0,-1.1987601143772668,-0.009912572489475751,0
1,0,0.9606698332671781,1.5191478225108668,0
1,0,0.5532302205040753,-0.30409049631019386,0
0,0,-0.9950403079957154,-0.3373309396797665,0
0,0,-0.09867315991688919,0.33080197204864403,0
1,0,0.512486259227765,-1.2929936865549807,0
0,0,-1.2802480369298874,0.48370801154867815,1
0,0,-0.8728084241667845,-0.47361675749501453,0
0,0,-1.0357842692720256,0.3440981493964733,1
0,0,0.3902543753988342,1.2964368519347298,0
0,1,0.6754621043330061,-1.4841262359300234,0
0,0,-0.9542963467194051,1.1468548567716528,0
1,0,0.10504664646466222,-0.08802761440797156,0
0,1,0.6347181430566958,-1.4675060142452372,0
0,1,0.5532302205040753,-1.4907743246039378,0
0,0,-0.13941712119319946,-1.0320562061038352,0
0,0,-0.09867315991688919,0.5734572086465244,0
0,0,-1.2802480369298874,0.32913994988016554,0
0,1,1.368109446030281,0.6382760732171912,0
0,0,1.3273654847539706,1.5374300663641316,0
0,1,1.6125732136881425,1.2000395661629695,0
0,0,-0.8320644628904743,0.47041183420084937,1
1,0,1.5718292524118322,0.06820246942901982,0
0,0,-1.1172721918246462,-1.4542098368974081,1
0,1,0.797693988161937,-1.4558718590658866,0
0,0,-0.3023929662984406,1.1202625020759949,1
0,0,-1.2802480369298874,-1.4824642137615447,0
0,0,-1.2802480369298874,-1.5073945462887242,0
1,0,0.22727853029359305,1.0039209502824906,0
1,0,1.368109446030281,-0.6398189743428778,0
0,1,1.4495973685829016,1.5025276008260804,1
0,0,-1.1172721918246462,-1.346178395946297,0
